Date,USD,BOV
11/9/2016,3.1676,63.25827
11/10/2016,3.233,61.20096
11/11/2016,3.3956,59.18351
11/14/2016,3.39,59.65747
11/16/2016,3.4417,60.75932
11/17/2016,3.4507,59.77047
11/18/2016,3.4321,59.96176
11/21/2016,3.3823,61.07027
11/22/2016,3.3874,61.95447
11/23/2016,3.3636,61.98591
11/24/2016,3.4311,61.39553
11/25/2016,3.3907,61.55908
11/28/2016,3.421,62.8555
11/29/2016,3.4072,60.98652
11/30/2016,3.4538,61.90636
12/1/2016,3.4063,59.50654
12/2/2016,3.573,60.31613
12/5/2016,3.4747,59.83173
12/6/2016,3.42,61.08825
12/7/2016,3.4063,61.4144
12/8/2016,3.3816,60.67657
12/9/2016,3.3737,60.50062
12/12/2016,3.377,59.17862
12/13/2016,3.3373,59.28057
12/14/2016,3.3342,58.21212
12/15/2016,3.369,58.39616
12/16/2016,3.3657,58.38904
12/19/2016,3.3904,57.111
12/20/2016,3.3639,57.58289
12/21/2016,3.3531,57.64652
12/22/2016,3.3254,57.25522
12/23/2016,3.2863,57.93711
12/26/2016,3.2695,58.62026
12/27/2016,3.2696,58.69669
12/28/2016,3.2694,59.78163
12/29/2016,3.2825,60.22729
1/2/2017,3.2532,59.5887
1/3/2017,3.284,61.81383
1/4/2017,3.2635,61.58906
1/5/2017,3.2141,62.07098
1/6/2017,3.1977,61.66537
1/9/2017,3.2222,61.70029
1/10/2017,3.1955,62.1318
1/11/2017,3.1945,62.44626
1/12/2017,3.1963,63.95393
1/13/2017,3.1868,63.65152
1/16/2017,3.1868,63.83128
1/17/2017,3.2405,64.35434
1/18/2017,3.2098,64.14958
1/19/2017,3.2296,63.95086
1/20/2017,3.1949,64.52118
1/23/2017,3.1423,65.74863
1/24/2017,3.1617,65.84009
1/26/2017,3.1685,66.19062
1/27/2017,3.1761,66.03399
1/30/2017,3.1096,64.30173
1/31/2017,3.1255,64.67078
2/1/2017,3.1501,64.83613
2/2/2017,3.128,64.57822
2/3/2017,3.1225,64.95393
2/6/2017,3.1195,63.99294
2/7/2017,3.1137,64.1989
2/8/2017,3.1167,64.8354
2/9/2017,3.1159,64.96489
2/10/2017,3.1288,66.12453
2/13/2017,3.1071,66.96764
2/14/2017,3.1101,66.71288
2/15/2017,3.0812,67.97558
2/16/2017,3.0561,67.81424
2/17/2017,3.0875,67.74842
2/20/2017,3.0955,68.53286
2/21/2017,3.0855,69.05203
2/22/2017,3.0939,68.58954
2/23/2017,3.0623,67.46139
2/24/2017,3.0603,66.66211
3/1/2017,3.108,66.98888
3/2/2017,3.0882,65.85493
3/3/2017,3.1546,66.78553
3/6/2017,3.12,66.34137
3/7/2017,3.1372,65.74233
3/8/2017,3.1159,64.71802
3/9/2017,3.1593,64.58524
3/10/2017,3.1913,64.67546
3/13/2017,3.1475,65.5343
3/14/2017,3.1524,64.69946
3/15/2017,3.1637,66.23488
3/16/2017,3.0999,65.78285
3/17/2017,3.1193,64.20994
3/20/2017,3.0866,64.88427
3/21/2017,3.071,62.98037
3/22/2017,3.0868,63.52133
3/23/2017,3.0848,63.53079
3/24/2017,3.1381,63.85377
3/27/2017,3.1097,64.30839
3/28/2017,3.1252,64.64045
3/29/2017,3.1384,65.52829
3/30/2017,3.1221,65.26598
3/31/2017,3.1477,64.98407
4/3/2017,3.1218,65.21148
4/4/2017,3.113,65.76891
